"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-22",,,"   22",",,N","1.10",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-24",,,,,,,"0.25",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-25",,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-26",,,,,,,"0.23",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-27",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-29",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-30",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-03-31",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-04-01",,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","41.784019","-88.016753","229.5","2021-04-06",,,"    5",",L,N","0.00",",L,N","0.00",",L,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
